County,County Abbr,Dirty-Site,Clean-Site,Clean-Site-Abbr
,,Adams HREC,,
Cass,CAS,Alice WPA 2018,,
,,Beugel,Beugel,
Sioux,SIO,SIO-Cedar River,Cedar River,
,,Cedar River NG 2018,,
Stutsman,STU,Chase Lake ,,
Burke,BRK,Des Lacs,,
Burke,BRK,BRK-Des Lacs NWR 2018,,
Hettinger,HET,Hettinger Indian Creek,,
Bottineau,BOT,BOT-JCS NWR 2018,,
Dunn,DUN,Killdeer Mtns,,
Sargent,SAR,Kraft Slough,,
,,Lindy Berg,Lindy Berg,
Billings,BIL,BIL- Little Missouri,,
Golden Valley,GOL,GOL- Little Missouri,,
McKenzie,MCK,Little Missouri ,,
Slope,SLO,SLO- Little Missouri ,,
Golden Valley,GOL,GOL-Little Missouri NG 2017,,
McKenzie,MCK,Little Missouri NG 2017,,
McKenzie,MCK,Little Missouri NG 2018,,
McKenzie,MCK,MCK-Little Missouri NG 2018,,
,,Lonetree WMA,,
,,Lonetree WMA,,
Burke,BRK,BRK-Lostwood NWR 2018,,
,,Schmidt,Schmidt,
Steele,STE,Shaw WPA,,
Ransom,RAN,RAN-Sheyenne,,
Richland,RIC,RIC-Sheyenne NG,,
,,Sheyenne NG 2017,,
,,Sproule South,,
,,Twin Lakes WMA,,
Renville,REN,REN-Upper Souris NWR 2018,,
,,Weinmann,Weinmann,
